k,inertia,silhouette,calinski_harabasz,davies_bouldin,selected
2,102589.02717314629,0.4182392861347569,3228.463801593319,1.087381380098537,False
3,66695.76265798074,0.40321463858427053,4634.49221800115,0.968292508425913,False
4,55469.31613278035,0.33425608700028653,4253.951539068095,1.2136048716054249,False
5,50974.667764473656,0.2770159630808775,3647.5849382151455,1.3763468481364731,True
6,48281.387538311705,0.27068267912577726,3169.646746979923,1.4477664133560453,False
7,46533.10429375514,0.2456213603661892,2790.3178078055057,1.884264398473224,False
8,45275.69140952965,0.24544593904400774,2489.5247307318054,1.8375629291641575,False
